product_name;product_rating;product_reviews;auction_price;original_price;offer_type;product_description
The English Triple Distilled Peated Single Cask;None;None;['78.95'];['112.79'];None;A limited-edition peated English single malt from The English, distilled in 2010 and matured in a single refill bourbon barrel until February 2021. The palate is rich and creamy, with notes of cinnamon, nutmeg, vanilla, savoury peat smoke, honeysuckle and baked apples that linger in the finish.
The Norfolk PX;None;['2'];['20.75'];['41.50'];None;A popular fortified wine from The English Whisky Company. They shipped over some casks of PX sherry from Spain, used the casks to mature whisky, further fortified the wine with their single malt and then recasked it to mature for a little longer. It's not sherry but it is interesting.
Plain Black Lacquered Luxury Gift Box;None;None;['39.95'];None;None;"A luxurious plain black piano lacquered box, sized to fit most regular bottles. The perfect accompaniment for any spirits gift.


Internal Dimensions:


Height: 12.5"" (32cm)


Width: 3.5"" (9cm)


Depth: 3"" (7cm)."
"New Zealand 18 Year Old Double Wood
Wine Cask";None;None;['99.95'];['199.90'];None;An 18-year-old small-batch blended whisky distilled at the now-closed Willowbank Distillery, from the New Zealand Whisky Collection. Matured in a combination of ex-bourbon and French-oak New Zealand wine casks, this is a richly fruity and full-bodied whisky with notes of raisin, pineapple, soft caramel and lashings of spice.
"New Zealand South Island 25 Year Old
Half Bottle";None;['1'];[];['428.57'];FREE UK Mainl;"A 35cl bottle of 25-year-old whisky from the closed Willowbank distillery, which was operated in Dunedin on New Zealand's South Island until 1997. Notes of sweet malt and golden fruits are interspersed with gentle smoke and a light peat influence in this dram, which has spent its entire life in ex-bourbon barrels.


The Willowbank distillery was the last operational distillery in New Zealand and was closed by its then owners Fosters in 1997. Its stills were subsequently sent to Fiji for making rum.

Tasting Notes (1)"
None;None;None;;None;None;None
Ichiro's Malt Wine Wood Reserve;None;['1'];[];['164.29'];FREE UK Mainl;Ichiro Akuto, founder of Japan's Chichibu distillery, is not only one of the most respected distillers in the country, but he's also a master whisky blender. His Wine Wood Reserve is a blended malt containing Japanese whiskies from Chichibu that have been finished in red wine casks and Scottish whisky. The result is a rich and jammy dram with lots of complexity.
"Benrinnes 21 Year Old
Scotch Malt Sales";None;None;[];['214.29'];FREE UK Mainl;A 21-year-old single cask Benrinnes, originally bottled for our friends at Scotch Malt Sales for release on the Japanese market.
"Clynelish 18 Year Old
Sherry Cask TWE Retro Label";None;None;[];['785.71'];FREE UK Mainl;An 18-year-old Clynelish released for The Whisky Exchange Whisky Show 2014. Heavily sherried whiskies from Clynelish don’t come around very often, and this one carefully balances sherry fruit with the distillery’s famed fruity and waxy character.
Dunglas 1967;None;None;[];['998.57'];FREE UK Mainl;An incredibly rare experimental malt from the folks at now closed Littlemill. They had an adjustable rectifier attached to their stills which gave them the ability to produce a number of different distillates. Dunglass, named Dunglas here due to someone not finishing the stencilling on the cask, is an oily, lightly peated spirit that has not been produced again.
"Longmorn 1974
33 Year Old Sherry Cask Laird Club";None;None;[];['571.43'];FREE UK Mainl;
"Invergordon 44 Year Old
The Future";None;None;[];[];FREE UK Mainl;"The final entry in The Future of Whisky series, selected and bottled specially for the 10th Whisky Exchange Whisky Show. This bottle – The Future – is what we see the future of whisky being: old grain. Distilled at Invergordon in 1974, it's an old and elegant dram, with its long maturation adding layers of complexity.

Tasting Notes (1)"
"Irish Single Malt 1989
Bot.2016 TWA+Three Rivers + Aren";None;None;[];[];FREE UK Mainl;
"Lochside 1964 Single Blend
46 Year Old";None;None;[];['571.43'];FREE UK Mainl;An interesting single cask whisky bottled at cask strength in 2011 by The Whisky Exchange. Lochside produced both grain and malt whisky from its opening in 1957 until the early 1970s and this is a 'single blend' using only whisky from the distillery. Unusually, the whisky was blended before ageing, with the mix of grain and malt maturing in the same cask for 46 years. A very rare style from this now closed distillery.
"Lochside 1981
Bot.2010 Sherry Cask";None;None;[];['428.57'];FREE UK Mainl;"Matured in a single Oloroso sherry cask, this 1981 Lochside was bottled by TWE in 2010 just shy of its 30th birthday. A dramatic old-school sherried Highlander, still very fresh, this needs a drop of water to reveal its full nutty, oaky, fruity, waxy majesty.

Tasting Notes (2)"
"Isle of Jura 1999
5 Year Old Heavily Peated";None;None;[];['357.14'];FREE UK Mainl;An awesome bottling (by us) of Isle of Jura 1999, that bears no relation to the mostly gentle, easy-drinking distillery bottlings. This heavily-peated 5yo has been bottled at full natural cask strength in order that its visceral phenols can roar across your tastebuds in their full glory. For hardcore cask-strength peatheads only.
"SMWS 39.42 (Linkwood)
1990 12 Year Old Sherry Cask";None;None;[];[];FREE UK Mainl;
"SMWS 37.22 (Cragganmore)
1972 31 Year Old Bot.2003";None;None;[];['428.57'];FREE UK Mainl;
"SMWS 9.5 (Glen Grant)
1980 11 Year Old Bot.1992";None;None;[];['642.86'];FREE UK Mainl;
"SMWS 4.1 (Highland Park)
1974 10 Year Old Bot.1984";None;None;[];['666.67'];FREE UK Mainl;
"Jamaica SMWS 5.2 (Appleton)
2002 10 Year Old Sherry Cask";None;None;[];['714.29'];FREE UK Mainl;
"SMWS 78.7 (Ben Nevis)
1978 15 Year Old Bot.1993";None;None;[];['333.33'];FREE UK Mainl;
"SMWS 78.8 (Ben Nevis)
1978 15 Year Old Bot.1993";None;None;[];['333.33'];FREE UK Mainl;
"SMWS 4.1 (Highland Park)
1974 10 Year Old Bot.1984";None;None;[];['333.33'];FREE UK Mainl;
"SMWS 30.25 (Glenrothes)
1966 31 Year Old Sherry Cask";None;None;[];['285.71'];FREE UK Mainl;
"SMWS 23.33 (Bruichladdich)
1970 29 Years Old";None;None;[];['785.71'];FREE UK Mainl;
"SMWS 4.7 (Highland Park)
1978 Bot.1987";None;None;[];['333.33'];FREE UK Mainl;
"SMWS 78.17 (Ben Nevis)
1984 13 Year Old";None;None;[];['071.43'];FREE UK Mainl;
"SMWS 4.65 (Highland Park)
1987 11 Year Old London Members Room";None;None;[];[];FREE UK Mainl;
"SMWS 18.5 (Inchgower)
1966 27 Year Old Bot.1994";None;None;[];['857.14'];FREE UK Mainl;
"SMWS 14.7 (Talisker)
1982 14 Year Old";None;None;[];['571.43'];FREE UK Mainl;
"SMWS 23.2 (Bruichladdich)
1974 14 Year Old";None;None;[];['333.33'];FREE UK Mainl;
"SMWS 42.1 (Tobermory)
1974 Bot.1987";None;None;[];['333.33'];FREE UK Mainl;
"SMWS L13.11 (Dalmore)
1974 19 Year Old";None;None;[];['142.86'];FREE UK Mainl;
"SMWS 14.5 (Talisker)
1981 15 Year Old";None;None;[];['428.57'];FREE UK Mainl;
"SMWS 53.62 (Caol Ila)
1983 20 Year Old";None;None;[];['928.57'];FREE UK Mainl;
"SMWS 4.62 (Highland Park)
1978 20 Year Old";None;None;[];['285.71'];FREE UK Mainl;
"SMWS 71.8 (Glenburgie)
1978 Bot.1992";None;None;[];['857.14'];FREE UK Mainl;
"SMWS 41.3 (Dailuaine)
1975 Bot.1990";None;None;[];['733.33'];FREE UK Mainl;
"SMWS 2.67 (Glenlivet)
1975 30 Year Old Sherry Cask";None;None;[];['428.57'];FREE UK Mainl;
"SMWS 61.4 (Brora)
1978 18 Year Old";None;None;[];['571.43'];FREE UK Mainl;
"SMWS 49.3 (St Magdalene)
1979 11 Year Old";None;None;[];['466.67'];FREE UK Mainl;
"SMWS 1.28 (Glenfarclas)
1982 9 Year Old";None;None;[];['666.67'];FREE UK Mainl;
"SMWS 58.11 (Strathisla)
1973 33 Year Old Sherry Cask";None;None;[];[];FREE UK Mainl;
"SMWS 9.39 (Glen Grant)
1972 33 Year Old";None;None;[];['928.57'];FREE UK Mainl;
"SMWS 53.70 (Caol Ila)
1983 Bot.2003";None;None;[];['928.57'];FREE UK Mainl;
"SMWS 27.14 (Springbank)
1979 11 Year Old Sherry Cask";None;None;[];['333.33'];FREE UK Mainl;
"SMWS 33.21 (Ardbeg)
1977 16 Year Old";None;None;[];['285.71'];FREE UK Mainl;
"SMWS 7.128 (Longmorn)
1985 30 Year Old Sherry Cask";None;None;[];['071.43'];FREE UK Mainl;
"SMWS 24.7 (Macallan)
1973 13 Year Old";None;None;[];[];FREE UK Mainl;
"SMWS 49.4 (St Magdalene)
1980 12 Year Old";None;None;[];['571.43'];FREE UK Mainl;An incredibly rare bottling from the now-closed Lowland distillery St Magdalene. This was distilled in 1980 and bottled 12 years later by the Scotch Malt Whisky Society.
"SMWS 18.3 (Inchgower)
1966 27 Year Old";None;None;[];['857.14'];FREE UK Mainl;
"SMWS 43.10 (Port Ellen)
1978 18 Year Old Bot.1996";None;None;[];['285.71'];FREE UK Mainl;
"SMWS 99.12 (Glenugie)
30 Year Old Medieval Banquet";None;None;[];['714.29'];FREE UK Mainl;
"SMWS 99.11 (Glenugie)
29 Year Old";None;None;[];['714.29'];FREE UK Mainl;
"SMWS 49.1 (St Magdalene)
1975 Bot.1987";None;None;[];[];FREE UK Mainl;
"SMWS 78.1 (Ben Nevis)
1966 23 Year Old";None;None;[];['666.67'];FREE UK Mainl;The first ever SMWS bottling of Ben Nevis. Distilled in June 1966 and aged for 23 years before being bottled in September 1989. This was released in the same year the Japanese company Nikka bought the distillery.
"SMWS 18.15 (Inchgower)
1966 35 Year Old Sherry Cask";None;None;[];['857.14'];FREE UK Mainl;A rare example of sherried 1966 vintage Inchgower from The Scotch Malt Whisky Society. Distilled in May, it was aged for 35 years in first fill sherry and bottled in June 2001 at an incredible 67.5%.
"SMWS 61.1 (Brora)
1976 12 Year Old";None;None;[];['333.33'];FREE UK Mainl;
"SMWS 98.1 (Lomond)
1972 Bot.1992";None;None;[];['142.86'];FREE UK Mainl;A rare bottle of Lomond single malt, one of only two bottlings of this single malt ever released and both are from the Scotch Malt Whisky Society, distilled in 1972. This whisky was made at Inverleven distillery using a Lomond still – a unique style of still that loosely resembles a hybrid between a traditional pot and column still.
"SMWS 18.4 (Inchgower)
1966 Bot.1994";None;None;[];['857.14'];FREE UK Mainl;A well aged Inchgower bottled by The Scotch Malt Whisky, the fourth such cask they bottled. This was distilled in November 1966 and bottled 27 years later in May 1994.
"SMWS (Balmenach) 48.2
1973 Bot.1989";None;None;[];[];FREE UK Mainl;"The 2nd ever cask that The Scotch Malt whisky Society bottled from Balmenach in Speyside. The cask managed to keep its strength over the 15 years of maturation, still being over 62% when bottled in 1989.

Tasting Notes (1)"
"SMWS 56.6 (Coleburn)
1984 Bot.1994";None;None;[];['928.57'];FREE UK Mainl;The 6th cask of Coleburn that The Scotch Malt Whisky Society bottled and one of only nine they ever did. This was distilled just a year before the distillery closed for good and is therefore a real piece of history.
"SMWS 74.2 (North Port)
1977 Bot.1993";None;None;[];['928.57'];FREE UK Mainl;The 2nd cask bottled by The Scotch Malt Whisky Society from North Port (also known as Brechin). The distillery closed in 1983 and was dismantled in 1993. From the colour, we imagine this came from a sherry cask.
"SMWS 56.4 (Coleburn)
1977 Bot.1993";None;None;[];['071.43'];FREE UK Mainl;A 16 year old whisky from Coleburn, closed in 1985 and dismantled in 1996, from the Scotch Malt Whisky Society. It was distilled in March 1977 and bottled in October 1993 at a hefty 64.1% abv.
"SMWS 56.5 (Coleburn)
1977 Bot.1993";None;None;[];['071.43'];FREE UK Mainl;A 1977 vintage whisky bottled by the SMWS, produced at distillery 56, aka Coleburn - closed since 1985 and since dismantled. This was distilled in March and bottled 16 and half years later in October 1993.
"SMWS 49.13 (St Magdalene)
1975 25 Year Old";None;None;[];['571.43'];FREE UK Mainl;
"Linkwood 2006
13 Year Old Artist Collective 4.6";None;None;[];['185.71'];FREE UK Mainl;A 2006 Linkwood single malt from independent bottler La Maison du Whisky, matured sherry-seasoned oak for 13 years before being bottled as part of its Artist Collective series. Floral aromas of lavender and violet are joined by liquorice, candied orange, dried mango and salted caramel on the nose, complemented by notes of hay, guava, mango and rose throughout the palate.
"Redbreast 2001
17 Year Old All Sherry Single Cask French Connections";None;None;[];[];FREE UK Mainl;A 2001 Redbreast Irish single pot still whiskey from French indie bottler La Maison du Whisky, matured in an oloroso sherry cask for 17 years. Aromas of oranges, toasted walnuts, star anise, black pepper, incense, clove, mango, apricot and flambéed banana fill the nose, complemented by notes of coconut milk, maple syrup, vanilla, lemon drizzle cake, rosemary and lime blossom throughout the palate.
